tag_id,created_at,updated_at,ttype,content,entity_id
544,2025-12-04 17:36:24.20884,2025-12-04 17:36:24.20884,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",506
545,2025-12-04 17:36:24.215534,2025-12-04 17:36:24.215535,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",507
546,2025-12-04 17:36:24.221498,2025-12-04 17:36:24.221498,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",508
547,2025-12-04 17:36:24.228202,2025-12-04 17:36:24.228202,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",509
548,2025-12-04 17:36:24.234103,2025-12-04 17:36:24.234103,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",510
549,2025-12-04 17:36:24.24117,2025-12-04 17:36:24.24117,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",511
550,2025-12-04 17:36:24.248121,2025-12-04 17:36:24.248121,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",512
551,2025-12-04 17:36:24.254502,2025-12-04 17:36:24.254502,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",513
611,2025-12-04 17:36:28.618447,2025-12-04 17:36:28.618447,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",362
432,2025-12-04 17:36:23.4659,2025-12-04 17:36:23.4659,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",409
433,2025-12-04 17:36:23.473002,2025-12-04 17:36:23.473002,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",410
434,2025-12-04 17:36:23.479753,2025-12-04 17:36:23.479753,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",411
435,2025-12-04 17:36:23.486589,2025-12-04 17:36:23.486589,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",412
436,2025-12-04 17:36:23.493694,2025-12-04 17:36:23.493694,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",413
437,2025-12-04 17:36:23.498667,2025-12-04 17:36:23.498667,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",221
438,2025-12-04 17:36:23.508042,2025-12-04 17:36:23.508042,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",414
439,2025-12-04 17:36:23.515879,2025-12-04 17:36:23.515879,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",415
440,2025-12-04 17:36:23.523566,2025-12-04 17:36:23.523566,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",416
441,2025-12-04 17:36:23.530217,2025-12-04 17:36:23.530217,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",417
442,2025-12-04 17:36:23.538057,2025-12-04 17:36:23.538057,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",418
443,2025-12-04 17:36:23.545347,2025-12-04 17:36:23.545347,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",419
444,2025-12-04 17:36:23.553308,2025-12-04 17:36:23.553308,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",420
445,2025-12-04 17:36:23.562492,2025-12-04 17:36:23.562492,SimpleProperty,"{""property_name"": ""last_monitored"", ""property_value"": ""DNS-TXT""}",181
446,2025-12-04 17:36:23.565069,2025-12-04 17:36:23.565069,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",421
448,2025-12-04 17:36:23.569806,2025-12-04 17:36:23.569806,DNSRecordProperty,"{""data"": ""spf2.0/pra include:cust-senderid.exactglobomantics.com -all"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",181
450,2025-12-04 17:36:23.573673,2025-12-04 17:36:23.573673,DNSRecordProperty,"{""data"": ""yahoo-verification-key=5Xl86oZa/n4UHHefTv2I7XVUnrzXPKxlwOLK9+GtRRo="", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",181
452,2025-12-04 17:36:23.583468,2025-12-04 17:36:23.583468,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",423
454,2025-12-04 17:36:23.586651,2025-12-04 17:36:23.586651,DNSRecordProperty,"{""data"": ""apple-domain-verification=yMmjfGafkScwooIUqccuuwrcQfjSzwD821yeVCKTjyQ"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 16}, ""property_name"": ""dns_record""}",181
455,2025-12-04 17:36:23.596442,2025-12-04 17:36:23.596442,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",424
457,2025-12-04 17:36:23.617594,2025-12-04 17:36:23.617594,SimpleProperty,"{""property_name"": ""last_monitored"", ""property_value"": ""URL-Expansion""}",125
459,2025-12-04 17:36:23.626137,2025-12-04 17:36:23.626137,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",429
460,2025-12-04 17:36:23.63314,2025-12-04 17:36:23.63314,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",430
461,2025-12-04 17:36:23.640519,2025-12-04 17:36:23.640519,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",431
462,2025-12-04 17:36:23.648559,2025-12-04 17:36:23.648559,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",432
463,2025-12-04 17:36:23.656375,2025-12-04 17:36:23.656375,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",433
464,2025-12-04 17:36:23.664631,2025-12-04 17:36:23.664631,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",434
465,2025-12-04 17:36:23.672099,2025-12-04 17:36:23.672099,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",435
466,2025-12-04 17:36:23.68257,2025-12-04 17:36:23.682571,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",436
467,2025-12-04 17:36:23.690263,2025-12-04 17:36:23.690263,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",437
468,2025-12-04 17:36:23.697201,2025-12-04 17:36:23.697202,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",438
469,2025-12-04 17:36:23.705314,2025-12-04 17:36:23.705314,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",439
470,2025-12-04 17:36:23.71307,2025-12-04 17:36:23.71307,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",440
471,2025-12-04 17:36:23.720834,2025-12-04 17:36:23.720834,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",441
472,2025-12-04 17:36:23.725397,2025-12-04 17:36:23.725397,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",181
473,2025-12-04 17:36:23.729311,2025-12-04 17:36:23.729311,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",202
474,2025-12-04 17:36:23.73348,2025-12-04 17:36:23.73348,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",244
475,2025-12-04 17:36:23.74096,2025-12-04 17:36:23.74096,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",442
476,2025-12-04 17:36:23.748511,2025-12-04 17:36:23.748511,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",443
477,2025-12-04 17:36:23.755444,2025-12-04 17:36:23.755444,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",444
478,2025-12-04 17:36:23.758642,2025-12-04 17:36:23.758642,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",318
479,2025-12-04 17:36:23.767791,2025-12-04 17:36:23.767791,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",445
480,2025-12-04 17:36:23.7741,2025-12-04 17:36:23.7741,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",446
481,2025-12-04 17:36:23.78169,2025-12-04 17:36:23.78169,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",447
482,2025-12-04 17:36:23.789142,2025-12-04 17:36:23.789142,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",448
483,2025-12-04 17:36:23.796794,2025-12-04 17:36:23.796794,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",449
484,2025-12-04 17:36:23.803978,2025-12-04 17:36:23.803978,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",450
485,2025-12-04 17:36:23.810856,2025-12-04 17:36:23.810856,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",451
486,2025-12-04 17:36:23.815976,2025-12-04 17:36:23.815976,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",204
487,2025-12-04 17:36:23.8223,2025-12-04 17:36:23.8223,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",452
