tag_id,created_at,updated_at,ttype,content,edge_id
54,2025-12-04 17:36:12.1493,2025-12-04 17:36:12.1493,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",47
55,2025-12-04 17:36:12.951702,2025-12-04 17:36:12.951702,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",48
56,2025-12-04 17:36:20.996313,2025-12-04 17:36:20.996313,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",49
57,2025-12-04 17:36:21.001919,2025-12-04 17:36:21.001919,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",50
58,2025-12-04 17:36:21.98203,2025-12-04 17:36:21.98203,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",51
59,2025-12-04 17:36:22.012236,2025-12-04 17:36:22.012236,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",52
60,2025-12-04 17:36:22.020563,2025-12-04 17:36:22.020563,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",53
61,2025-12-04 17:36:22.029678,2025-12-04 17:36:22.029678,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",54
62,2025-12-04 17:36:22.047774,2025-12-04 17:36:22.047774,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",55
63,2025-12-04 17:36:22.054037,2025-12-04 17:36:22.054037,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",56
64,2025-12-04 17:36:22.072058,2025-12-04 17:36:22.072058,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",57
27,2025-12-04 17:36:02.486139,2025-12-04 19:27:17.917342,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",26
28,2025-12-04 17:36:02.520093,2025-12-04 19:27:17.934875,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",27
29,2025-12-04 17:36:02.535717,2025-12-04 19:27:17.953923,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",28
30,2025-12-04 17:36:02.550008,2025-12-04 19:27:18.003635,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",29
33,2025-12-04 17:36:02.583458,2025-12-04 19:27:18.049207,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",32
34,2025-12-04 17:36:02.597463,2025-12-04 19:27:18.071964,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",33
35,2025-12-04 17:36:02.613728,2025-12-04 19:27:18.09169,SourceProperty,"{""name"": ""RDAP"", ""confidence"": 100}",34
65,2025-12-04 17:36:22.084707,2025-12-04 17:36:22.084707,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",58
66,2025-12-04 17:36:22.098193,2025-12-04 17:36:22.098193,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",59
67,2025-12-04 17:36:22.105624,2025-12-04 17:36:22.105624,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",60
69,2025-12-04 17:36:22.536331,2025-12-04 17:36:22.536332,SourceProperty,"{""name"": ""Contract-Record-Expansion"", ""confidence"": 100}",58
70,2025-12-04 17:36:22.548249,2025-12-04 17:36:22.548249,SourceProperty,"{""name"": ""Contract-Record-Expansion"", ""confidence"": 100}",59
71,2025-12-04 17:36:23.614139,2025-12-04 17:36:23.614139,SourceProperty,"{""name"": ""Email-Expansion"", ""confidence"": 100}",61
72,2025-12-04 17:36:23.621535,2025-12-04 17:36:23.621535,SourceProperty,"{""name"": ""Email-Expansion"", ""confidence"": 100}",62
73,2025-12-04 17:36:24.361186,2025-12-04 17:36:24.361186,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",63
74,2025-12-04 17:36:24.369693,2025-12-04 17:36:24.369693,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",64
75,2025-12-04 17:36:26.921129,2025-12-04 17:36:26.921129,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",65
76,2025-12-04 17:36:26.928366,2025-12-04 17:36:26.928366,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",66
80,2025-12-04 17:36:31.158388,2025-12-04 17:36:31.158389,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",71
92,2025-12-04 17:36:36.0725,2025-12-04 17:36:36.0725,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",92
94,2025-12-04 17:36:36.105082,2025-12-04 17:36:36.105082,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",96
95,2025-12-04 17:36:36.269508,2025-12-04 17:36:36.269508,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",98
96,2025-12-04 17:36:36.658289,2025-12-04 17:36:36.658289,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",100
97,2025-12-04 17:36:37.123062,2025-12-04 17:36:37.123062,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",102
98,2025-12-04 17:36:37.702058,2025-12-04 17:36:37.702058,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",103
99,2025-12-04 17:36:37.959887,2025-12-04 17:36:37.959887,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",105
100,2025-12-04 17:36:38.07546,2025-12-04 17:36:38.07546,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",107
101,2025-12-04 17:36:38.275037,2025-12-04 17:36:38.275037,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",109
102,2025-12-04 17:36:38.41157,2025-12-04 17:36:38.41157,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",111
114,2025-12-04 17:36:41.821982,2025-12-04 17:36:41.821982,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",132
115,2025-12-04 17:36:41.832052,2025-12-04 17:36:41.832052,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",133
117,2025-12-04 17:36:42.269769,2025-12-04 17:36:42.269769,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",135
121,2025-12-04 17:36:43.671065,2025-12-04 17:36:43.671065,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",144
122,2025-12-04 17:36:43.673284,2025-12-04 17:36:43.673284,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",145
123,2025-12-04 17:36:44.164189,2025-12-04 17:36:44.164189,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",146
124,2025-12-04 17:36:44.42381,2025-12-04 17:36:44.42381,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",148
125,2025-12-04 17:36:44.942911,2025-12-04 17:36:44.942911,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",150
126,2025-12-04 17:36:44.951457,2025-12-04 17:36:44.951457,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",151
127,2025-12-04 17:36:46.217518,2025-12-04 17:36:46.217518,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",152
128,2025-12-04 17:36:46.241502,2025-12-04 17:36:46.241502,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",153
129,2025-12-04 17:36:46.502747,2025-12-04 17:36:46.502747,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",155
130,2025-12-04 17:36:46.656026,2025-12-04 17:36:46.656027,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",157
131,2025-12-04 17:36:46.736063,2025-12-04 17:36:46.736063,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",158
132,2025-12-04 17:36:47.262897,2025-12-04 17:36:47.262897,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",160
133,2025-12-04 17:36:47.962795,2025-12-04 17:36:47.962795,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",161
134,2025-12-04 17:36:47.969544,2025-12-04 17:36:47.969544,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",162
135,2025-12-04 17:36:48.103144,2025-12-04 17:36:48.103144,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",163
136,2025-12-04 17:36:48.227916,2025-12-04 17:36:48.227916,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",164
137,2025-12-04 17:36:48.250075,2025-12-04 17:36:48.250075,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",165
138,2025-12-04 17:36:48.467776,2025-12-04 17:36:48.467776,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",166
139,2025-12-04 17:36:48.631896,2025-12-04 17:36:48.631896,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",168
140,2025-12-04 17:36:49.124962,2025-12-04 17:36:49.124962,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",169
141,2025-12-04 17:36:49.27398,2025-12-04 17:36:49.27398,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",171
142,2025-12-04 17:36:49.346333,2025-12-04 17:36:49.346333,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",173
143,2025-12-04 17:36:49.852031,2025-12-04 17:36:49.852031,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",175
144,2025-12-04 17:36:50.042166,2025-12-04 17:36:50.042166,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",176
145,2025-12-04 17:36:50.373893,2025-12-04 17:36:50.373893,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",178
146,2025-12-04 17:36:50.836203,2025-12-04 17:36:50.836203,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",180
1588,2025-12-04 17:57:53.890982,2025-12-04 17:57:53.890982,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",1526
1589,2025-12-04 17:58:07.363926,2025-12-04 17:58:07.363926,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",1527
1591,2025-12-04 17:58:08.541774,2025-12-04 17:58:08.541774,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",1529
1594,2025-12-04 17:58:37.982623,2025-12-04 17:58:37.982623,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",1533
1595,2025-12-04 17:58:40.377111,2025-12-04 17:58:40.377111,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",1534
1596,2025-12-04 17:58:41.976491,2025-12-04 17:58:41.976491,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",1535
1597,2025-12-04 17:58:41.990954,2025-12-04 17:58:41.990954,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",1536
1602,2025-12-04 17:58:48.296816,2025-12-04 17:58:48.296816,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",1542
1606,2025-12-04 17:58:52.18,2025-12-04 17:58:52.18,SourceProperty,"{""name"": ""GitHub-IPVerse"", ""confidence"": 90}",1546
1607,2025-12-04 17:58:52.208677,2025-12-04 17:58:52.208677,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",1547
1608,2025-12-04 17:58:52.210434,2025-12-04 17:58:52.210434,SourceProperty,"{""name"": ""DNS"", ""confidence"": 100}",1548
1609,2025-12-04 17:58:54.019146,2025-12-04 17:58:54.019146,SourceProperty,"{""name"": ""DNS-IP"", ""confidence"": 100}",1550
1610,2025-12-04 17:58:55.824736,2025-12-04 17:58:55.824736,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",1551
1611,2025-12-04 17:59:00.192572,2025-12-04 17:59:00.192572,SourceProperty,"{""name"": ""GitHub-IPVerse"", ""confidence"": 90}",1552
68,2025-12-04 17:36:22.523826,2025-12-04 17:36:22.523826,SourceProperty,"{""name"": ""Contract-Record-Expansion"", ""confidence"": 100}",57
77,2025-12-04 17:36:29.942092,2025-12-04 17:36:29.942092,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",67
78,2025-12-04 17:36:29.950467,2025-12-04 17:36:29.950467,SourceProperty,"{""name"": ""WHOIS"", ""confidence"": 100}",68
79,2025-12-04 17:36:30.330269,2025-12-04 17:36:30.330269,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",69
81,2025-12-04 17:36:32.492658,2025-12-04 17:36:32.492658,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",72
82,2025-12-04 17:36:32.770606,2025-12-04 17:36:32.770606,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",74
83,2025-12-04 17:36:32.809937,2025-12-04 17:36:32.809937,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",76
84,2025-12-04 17:36:32.821491,2025-12-04 17:36:32.821491,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",77
85,2025-12-04 17:36:33.242278,2025-12-04 17:36:33.242278,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",78
86,2025-12-04 17:36:34.068439,2025-12-04 17:36:34.068439,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",80
87,2025-12-04 17:36:34.127084,2025-12-04 17:36:34.127084,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",82
88,2025-12-04 17:36:34.238451,2025-12-04 17:36:34.238451,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",84
89,2025-12-04 17:36:34.292599,2025-12-04 17:36:34.292599,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",86
90,2025-12-04 17:36:34.488717,2025-12-04 17:36:34.488717,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",88
91,2025-12-04 17:36:34.905728,2025-12-04 17:36:34.905728,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",90
93,2025-12-04 17:36:36.079446,2025-12-04 17:36:36.079446,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",93
103,2025-12-04 17:36:38.87246,2025-12-04 17:36:38.87246,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",112
104,2025-12-04 17:36:38.882421,2025-12-04 17:36:38.882421,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",113
105,2025-12-04 17:36:38.89415,2025-12-04 17:36:38.89415,SourceProperty,"{""name"": ""DNS-SD"", ""confidence"": 80}",115
106,2025-12-04 17:36:39.422189,2025-12-04 17:36:39.422189,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",116
107,2025-12-04 17:36:40.201343,2025-12-04 17:36:40.201343,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",118
108,2025-12-04 17:36:40.315408,2025-12-04 17:36:40.315408,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",120
109,2025-12-04 17:36:40.358265,2025-12-04 17:36:40.358265,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",122
110,2025-12-04 17:36:40.776052,2025-12-04 17:36:40.776052,SourceProperty,"{""name"": ""DNS-CNAME"", ""confidence"": 100}",124
